DatasetName,NumClusters,Double_Inertia,Hybrid_Inertia,Rel_Inertia,Improvement_%
SYNTH_C_30_F_50_n1000_000k_kmeans,100,476112.7988824804,476892.8832332106,1.0016384444034296,-0.1638444403429544
SYNTH_C_5_F_50_n1000_000k_kmeans,100,443437.3220525641,444481.42007885507,1.0023545560429106,-0.23545560429105655
SYNTH_C_80_F_120_n1000_000k_kmeans,100,7329594.099079862,7330161.379008339,1.0000773958176685,-0.007739581766850697
