DatasetName,NumClusters,Single_Inertia,Hybrid_Inertia,Rel_Inertia,Improvement_%
SYNTH_C_30_F_50_n1000_000k_kmeans,100,41979524.571428575,49418981.10699819,1.1772163122741257,-17.721631227412562
SYNTH_C_5_F_50_n1000_000k_kmeans,100,39792337.71428572,48239379.71631407,1.212278103957582,-21.227810395758198
SYNTH_C_80_F_120_n1000_000k_kmeans,100,346517325.71428573,449459345.589644,1.297076112033247,-29.707611203324696
