Experiment,Metric,Baseline,baseline,compare_suite,metric,n_pairs,mean_baseline,mean_compare,mean_rel,mean_improvement_%,t_test_stat,t_test_p,wilcoxon_stat,wilcoxon_p,cohens_d
hybrid_kmeans_Results_expA,Time,Double,Double,Hybrid,Time,3,127.42159169060842,104.17106058434139,0.8125846680560836,18.741533194391636,3.9364348165424237,0.05889160296504846,0.0,0.25,2.2727017009781836
hybrid_kmeans_Results_expA,Time,Single,Single,Hybrid,Time,3,79.43393002237593,104.17106058434139,1.3119629331584204,-31.196293315842055,-3.1904961566016175,0.08578641015189031,0.0,0.25,-1.8420338148624102
hybrid_kmeans_Results_expA,Inertia,Double,Double,Hybrid,Inertia,3,179797100.49271998,182372568.80431876,1.022650734606153,-2.265073460615302,-1.9458838235637475,0.1910712229436127,0.0,0.25,-1.1234565493462678
hybrid_kmeans_Results_expA,Inertia,Single,Single,Hybrid,Inertia,3,142763062.66666666,182372568.80431876,1.228856842754985,-22.885684275498487,-1.2507899331588999,0.33749896232074605,0.0,0.25,-0.7221439046089649
hybrid_kmeans_Results_expA,Memory_MB,Double,Double,Hybrid,Memory_MB,3,586.6666666666666,880.0,1.5,-50.0,-3.142857142857143,0.08807066048135392,0.0,0.25,-1.8145294174531095
hybrid_kmeans_Results_expA,Memory_MB,Single,Single,Hybrid,Memory_MB,3,293.3333333333333,880.0,3.0,-200.0,-3.142857142857143,0.08807066048135392,0.0,0.25,-1.8145294174531095
hybrid_kmeans_Results_expB,Time,Double,Double,Hybrid,Time,3,348.2673482213701,293.7226909655922,0.840331034600931,15.966896539906907,8.248811260154888,0.014380364596876652,0.0,0.25,4.762453401544842
hybrid_kmeans_Results_expB,Time,Single,Single,Hybrid,Time,3,110.20018482208252,293.7226909655922,2.710459588354125,-171.04595883541256,-6.035666777279877,0.026369504855961543,0.0,0.25,-3.4846938386014177
hybrid_kmeans_Results_expB,Inertia,Double,Double,Hybrid,Inertia,3,179793831.56597796,183739030.32487428,1.0839857651886429,-8.398576518864271,-1.6762090850736349,0.2356887730272115,1.0,0.5,-0.9677597664853593
hybrid_kmeans_Results_expB,Inertia,Single,Single,Hybrid,Inertia,3,149754396.95238096,183739030.32487428,1.1402954130064422,-14.029541300644217,-1.060873398026608,0.3999228122325239,1.0,0.5,-0.6124955419267752
hybrid_kmeans_Results_expB,Memory_MB,Double,Double,Hybrid,Memory_MB,3,586.6666666666666,880.0,1.5,-50.0,-3.142857142857143,0.08807066048135392,0.0,0.25,-1.8145294174531095
hybrid_kmeans_Results_expB,Memory_MB,Single,Single,Hybrid,Memory_MB,3,293.3333333333333,880.0,3.0,-200.0,-3.142857142857143,0.08807066048135392,0.0,0.25,-1.8145294174531095
hybrid_kmeans_Results_expC,Time,Double,Double,Hybrid,Time,3,1.0919711589813232,0.521982840656872,0.9354271705086536,6.457282949134627,1.443995444762599,0.28556411099084733,1.0,0.5,0.8336911587422797
hybrid_kmeans_Results_expC,Inertia,Double,Double,Hybrid,Inertia,3,2749714.740004969,2750511.8941068016,1.0013567987546697,-0.13567987546695387,-5.780253659664529,0.028649957460569895,0.0,0.25,-3.337231006391635
hybrid_kmeans_Results_expC,Memory_MB,Double,Double,Hybrid,Memory_MB,3,5.866666666666667,8.799999999999999,1.5,-50.0,-3.1428571428571423,0.08807066048135394,0.0,0.25,-1.8145294174531093
