DatasetName,NumClusters,Double_Inertia,Hybrid_Inertia,Rel_Inertia,Improvement_%
SYNTH_C_30_F_50_n1000_000k_kmeans,100,48828903.40836348,49418981.10699819,1.012084598617745,-1.208459861774501
SYNTH_C_5_F_50_n1000_000k_kmeans,100,46187460.30552216,48239379.71631407,1.0444258982247305,-4.4425898224730584
SYNTH_C_80_F_120_n1000_000k_kmeans,100,444374937.7642743,449459345.589644,1.0114417069759836,-1.1441706975983466
