DatasetName,NumClusters,Single_Inertia,Hybrid_Inertia,Rel_Inertia,Improvement_%
SYNTH_C_30_F_50_n1000_000k_kmeans,100,58512947.428571425,52520713.770737484,0.8975913208756259,10.240867912437409
SYNTH_C_5_F_50_n1000_000k_kmeans,100,43708172.571428575,54321921.45517981,1.2428321354869294,-24.28321354869294
SYNTH_C_80_F_120_n1000_000k_kmeans,100,347042070.85714287,444374455.7487055,1.2804627826567712,-28.046278265677117
