DatasetName,DatasetSize,NumClusters,Mode,tolerance_single,Cap,iter_single,iter_double,Suite,Time,Memory_MB,ARI,DBI,Inertia
SYNTH_C_5_F_80_n100k,100000,30,D,0.001,800,0,19,Double,0.7254633903503418,64.0,0.27781875653881327,7.7116864639296985,7794608.8513561785
SYNTH_C_5_F_80_n100k,100000,30,D,0.001,800,15,0,Hybrid,0.5672671794891357,96.0,0.21031608882127592,7.500523237113317,59355174.53959685
SYNTH_C_80_F_5_n100k,100000,30,D,0.001,800,0,47,Double,0.4469623565673828,4.0,0.418655139138963,1.098672863529031,2774710.4360025176
SYNTH_C_80_F_5_n100k,100000,30,D,0.001,800,34,2,Hybrid,0.3293430805206299,6.0,0.19656093451110898,1.4856909208857727,7332735.938301489
SYNTH_C_80_30_n100k,100000,30,D,0.001,800,0,21,Double,0.43708205223083496,24.0,0.38886328224029454,1.8338065234694207,48170651.79493905
SYNTH_C_80_30_n100k,100000,30,D,0.001,800,6,2,Hybrid,0.23215627670288086,36.0,0.35198435768350045,2.3300927085782743,57284626.25139069
