DatasetName,DatasetSize,NumClusters,NumFeatures,Suite,SweepVal,Mode,SwitchIter,Time,Memory_MB,ARI,DBI,Inertia,CenterDiff
SUSY,1000000,5,3,A,0.0,Double,300.0,2.085475206375122,,0.8952008806804793,24.0,295497.8591009928,0.0
SUSY,1000000,5,3,A,0.0,AdaptiveHybrid,300.0,4.326389312744141,36.0,,0.8951849969699719,295497.79704195994,1.5412535744682538
SUSY,1000000,5,3,A,0.0,Double,300.0,2.2155027389526367,,0.8951875053011449,24.0,295497.7771907071,0.0
SUSY,1000000,5,3,A,0.0,AdaptiveHybrid,300.0,6.45678186416626,36.0,,0.8951583276788366,295497.79367776937,1.5417350630969737
SUSY,1000000,5,3,A,0.0,Double,300.0,2.3027732372283936,,0.8951789887274364,24.0,295497.77518362144,0.0
SUSY,1000000,5,3,A,0.0,AdaptiveHybrid,300.0,5.284827709197998,36.0,,0.895143663787367,295497.9083306058,1.5416007907683051
SUSY,1000000,5,3,B,0.1,Double,20.05963897705078,,1000.0,0.8952099766346487,24.0,295497.8156550826,0.0
SUSY,1000000,5,3,B,0.1,AdaptiveHybrid,1000.0,19.470420360565186,36.0,,0.8951886397554659,295497.7859105478,1.541182919410907
SUSY,1000000,5,3,B,0.1,Double,26.111183881759644,,1000.0,0.8951865285935028,24.0,295497.80576630036,0.0
SUSY,1000000,5,3,B,0.1,AdaptiveHybrid,1000.0,18.954246282577515,36.0,,0.8951890637685966,295497.8474043151,1.5419293733328896
SUSY,1000000,5,3,B,0.1,Double,26.113290548324585,,1000.0,0.8951894953723896,24.0,295497.81475910015,0.0
SUSY,1000000,5,3,B,0.1,AdaptiveHybrid,1000.0,23.682143211364746,36.0,,0.8951779302782225,295497.78675231826,1.541891153294749
SUSY,1000000,5,3,B,0.001,Double,20.27950882911682,,1000.0,0.8951814183276212,24.0,295497.79148966784,0.0
SUSY,1000000,5,3,B,0.001,AdaptiveHybrid,1000.0,25.57269287109375,36.0,,0.8951805443012798,295497.8014335639,0.055903461189471086
SUSY,1000000,5,3,B,0.001,Double,24.64951252937317,,1000.0,0.8951631490089695,24.0,295497.8250473191,0.0
