dataset,repeat,approach,penalty,alpha,lambda,solver,max_iter,max_iter_single,tol,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,3000,0.001,1.8461866860743612,0,5.0,1.0,1.0,3.5442016564960573e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,3000,0.001,1.9675485480111092,2,3.0,1.0,0.9999999999999998,3.165486385122493e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,5000,0.001,1.0290492218919098,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,5000,0.001,1.8414595799986273,0,5.0,1.0,1.0,3.5442016564960573e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,5000,0.001,2.3093794281594455,2,3.0,1.0,0.9999999999999998,3.165486385122493e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,50,0.0001,1.037030663806945,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,50,0.0001,1.942326130112633,0,6.0,1.0,0.9999999999999999,3.8032581524021955e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,50,0.0001,2.065005203941837,2,4.0,1.0,1.0,3.661647183057457e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,100,0.0001,1.0359278151299804,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,100,0.0001,1.9395466390997171,0,6.0,1.0,0.9999999999999999,3.8032581524021955e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,100,0.0001,2.099687411915511,2,4.0,1.0,1.0,3.661647183057457e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,250,0.0001,1.0352595031727105,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,250,0.0001,1.9392990979831666,0,6.0,1.0,0.9999999999999999,3.8032581524021955e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,250,0.0001,2.108085048152134,2,4.0,1.0,1.0,3.661647183057457e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,500,0.0001,1.038866407936439,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,500,0.0001,1.9281249449122697,0,6.0,1.0,0.9999999999999999,3.8032581524021955e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,500,0.0001,2.0507260609883815,2,4.0,1.0,1.0,3.661647183057457e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,1000,0.0001,1.0317545889411122,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,1000,0.0001,1.8968514238949865,0,6.0,1.0,0.9999999999999999,3.8032581524021955e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,1000,0.0001,2.038380302954465,2,4.0,1.0,1.0,3.661647183057457e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,3000,0.0001,1.0240118040237576,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,3000,0.0001,1.9540791369508952,0,6.0,1.0,0.9999999999999999,3.8032581524021955e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,3000,0.0001,2.0270926218945533,2,4.0,1.0,1.0,3.661647183057457e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,5000,0.0001,1.0189506069291383,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,5000,0.0001,1.9026446039788425,0,6.0,1.0,0.9999999999999999,3.8032581524021955e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,5000,0.0001,2.02037014788948,2,4.0,1.0,1.0,3.661647183057457e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,50,1e-06,1.0552341069560498,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,50,1e-06,1.9735283670015633,0,7.0,1.0,1.0,3.726780539547604e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,50,1e-06,2.101773923030123,2,5.0,1.0,0.9999999999999999,3.7556500947043554e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,100,1e-06,1.0312174980062991,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,100,1e-06,1.9516897581052035,0,7.0,1.0,1.0,3.726780539547604e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,100,1e-06,2.092968047130853,2,5.0,1.0,0.9999999999999999,3.7556500947043554e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,250,1e-06,1.040918773971498,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,250,1e-06,1.9637394391465932,0,7.0,1.0,1.0,3.726780539547604e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,250,1e-06,2.169774904148653,2,5.0,1.0,0.9999999999999999,3.7556500947043554e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,500,1e-06,1.1974200960248709,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,500,1e-06,2.069343227893114,0,7.0,1.0,1.0,3.726780539547604e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,500,1e-06,2.196786504937336,2,5.0,1.0,0.9999999999999999,3.7556500947043554e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,1000,1e-06,1.0824475360568613,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,1000,1e-06,2.0518412401434034,0,7.0,1.0,1.0,3.726780539547604e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,1000,1e-06,2.154656999045983,2,5.0,1.0,0.9999999999999999,3.7556500947043554e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,3000,1e-06,1.0457464610226452,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,3000,1e-06,2.0478242109529674,0,7.0,1.0,1.0,3.726780539547604e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,3000,1e-06,2.163439451949671,2,5.0,1.0,0.9999999999999999,3.7556500947043554e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,5000,1e-06,1.0526967828627676,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,5000,1e-06,2.025543886004016,0,7.0,1.0,1.0,3.726780539547604e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,5000,1e-06,2.18233974208124,2,5.0,1.0,0.9999999999999999,3.7556500947043554e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,50,1e-08,1.0438183818478137,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,50,1e-08,2.0425315198954195,0,7.0,1.0,1.0,3.726780539547604e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,50,1e-08,2.1922622080892324,2,5.0,1.0,0.9999999999999999,3.7556500947043554e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,100,1e-08,1.0610516490414739,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,100,1e-08,2.0734448230359703,0,7.0,1.0,1.0,3.726780539547604e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,100,1e-08,2.212320717982948,2,5.0,1.0,0.9999999999999999,3.7556500947043554e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,250,1e-08,1.0767836191225797,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,250,1e-08,2.0867912040557712,0,7.0,1.0,1.0,3.726780539547604e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,250,1e-08,2.2044194960035384,2,5.0,1.0,0.9999999999999999,3.7556500947043554e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,500,1e-08,1.0608533460181206,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,500,1e-08,2.084946587914601,0,7.0,1.0,1.0,3.726780539547604e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,500,1e-08,2.225067812949419,2,5.0,1.0,0.9999999999999999,3.7556500947043554e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,1000,1e-08,1.064086853992194,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,1000,1e-08,2.0864270960446447,0,7.0,1.0,1.0,3.726780539547604e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,1000,1e-08,2.1864072680473328,2,5.0,1.0,0.9999999999999999,3.7556500947043554e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,3000,1e-08,1.0386583460494876,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,3000,1e-08,2.0709671650547534,0,7.0,1.0,1.0,3.726780539547604e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,3000,1e-08,2.1240895059891045,2,5.0,1.0,0.9999999999999999,3.7556500947043554e-10
blobs,0,single(f32),l2,0.0,0.01,lbfgs,10000,5000,1e-08,1.0502190149854869,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.01,lbfgs,10000,5000,1e-08,1.995548526989296,0,7.0,1.0,1.0,3.726780539547604e-10
blobs,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,5000,1e-08,2.1705517121590674,2,5.0,1.0,0.9999999999999999,3.7556500947043554e-10
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,50,0.01,0.4051473850850016,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,50,0.01,0.4405197848100215,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,50,0.01,0.7930036801844835,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,100,0.01,0.3994263759814203,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,100,0.01,0.4385789770167321,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,100,0.01,0.775369452079758,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,250,0.01,0.39317176095210016,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,250,0.01,0.4368393160402775,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,250,0.01,0.8124549519270658,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,500,0.01,0.40323570603504777,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,500,0.01,0.4454110611695796,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,500,0.01,0.7951236548833549,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,1000,0.01,0.4030330190435052,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,1000,0.01,0.44549700198695064,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,1000,0.01,0.7793367940466851,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,3000,0.01,0.399391015060246,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,3000,0.01,0.4522903901524842,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,3000,0.01,0.7970872188452631,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,5000,0.01,0.40297108609229326,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,5000,0.01,0.4399975740816444,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,5000,0.01,0.789569993969053,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,50,0.001,0.39578776294365525,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,50,0.001,0.4459451180882752,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,50,0.001,0.7809509302023798,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,100,0.001,0.3993676968384534,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,100,0.001,0.4771742878947407,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,100,0.001,0.7810512471478432,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,250,0.001,0.3896385719999671,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,250,0.001,0.4304126859642565,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,250,0.001,0.7644179638009518,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,500,0.001,0.39485475001856685,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,500,0.001,0.42970362515188754,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,500,0.001,0.7623196570202708,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,1000,0.001,0.39184845983982086,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,1000,0.001,0.4210144840180874,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,1000,0.001,0.7718228038866073,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,3000,0.001,0.38660856196656823,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,3000,0.001,0.43164337798953056,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,3000,0.001,0.7638316000811756,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,5000,0.001,0.388498225947842,1,,1.0,1.0,1.8499387546347965e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,5000,0.001,0.43271564901806414,0,1.0,1.0,1.0,1.849937081750743e-12
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,5000,0.001,0.7682807128876448,1,0.0,1.0,1.0,1.8499387546347965e-12
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,50,0.0001,1.0344860109034926,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,50,0.0001,1.6378377920482308,0,3.0,1.0,1.0,4.685932568759298e-11
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,50,0.0001,1.8414645460434258,2,2.0,1.0,1.0,2.8238322372954524e-11
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,100,0.0001,1.0919639139901847,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,100,0.0001,1.6325004359241575,0,3.0,1.0,1.0,4.685932568759298e-11
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,100,0.0001,1.815801332006231,2,2.0,1.0,1.0,2.8238322372954524e-11
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,250,0.0001,1.0427378038875759,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,250,0.0001,1.6344479559920728,0,3.0,1.0,1.0,4.685932568759298e-11
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,250,0.0001,1.8684884861577302,2,2.0,1.0,1.0,2.8238322372954524e-11
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,500,0.0001,1.0410525298211724,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,500,0.0001,1.6230913440231234,0,3.0,1.0,1.0,4.685932568759298e-11
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,500,0.0001,1.8423965531401336,2,2.0,1.0,1.0,2.8238322372954524e-11
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,1000,0.0001,1.0486353700980544,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,1000,0.0001,1.6191189677920192,0,3.0,1.0,1.0,4.685932568759298e-11
