DatasetName,DatasetSize,NumClusters,Mode,Cap,tolerance_single,iter_single,iter_double,Suite,Time,Memory_MB,Inertia
SYNTH_C_5_F_50_n1000_000k_kmeans,1000000,100,A,300,1e-16,0,300,Double,89.77249503135681,400.0,46187020.26007393
SYNTH_C_5_F_50_n1000_000k_kmeans,1000000,100,A,300,1e-16,300,1,Hybrid,54.19654868391808,600.0,60548515.77866677
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,0,1e-16,300,0,Single,127.37184691429138,480.0,346518752.0
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,0,1e-16,0,300,Double,208.45226216316223,960.0,444374629.0302452
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,0,1e-16,0,300,Hybrid,208.2625587170478,1440.0,444375251.64271647
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,50,1e-16,300,0,Single,130.6196858882904,480.0,346517056.0
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,50,1e-16,0,300,Double,206.7380497455597,960.0,444375051.8626854
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,50,1e-16,50,250,Hybrid,196.48593476915266,1440.0,444375044.0481582
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,100,1e-16,300,0,Single,128.92145538330078,480.0,346515648.0
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,100,1e-16,0,300,Double,201.89467000961304,960.0,444375099.7475054
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,100,1e-16,100,200,Hybrid,182.66353955701925,1440.0,444374845.43166536
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,150,1e-16,300,0,Single,129.4559724330902,480.0,346515648.0
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,150,1e-16,0,300,Double,204.67041301727295,960.0,444374871.83156693
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,150,1e-16,150,150,Hybrid,172.77262289403006,1440.0,444375016.9177231
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,200,1e-16,300,0,Single,128.880145072937,480.0,346520640.0
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,200,1e-16,0,300,Double,206.99753284454346,960.0,444374983.2680636
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,200,1e-16,200,100,Hybrid,154.9299199830275,1440.0,444375236.3385418
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,250,1e-16,300,0,Single,129.66202044487,480.0,346517472.0
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,250,1e-16,0,300,Double,206.0865707397461,960.0,444375050.56498134
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,250,1e-16,250,50,Hybrid,142.60025421495084,1440.0,444375210.58930486
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,300,1e-16,300,0,Single,132.23392391204834,480.0,346516064.0
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,300,1e-16,0,300,Double,199.17268705368042,960.0,444374878.0448727
SYNTH_C_80_F_120_n1000_000k_kmeans,1000000,100,A,300,1e-16,300,1,Hybrid,131.13347369001713,1440.0,479964814.1593981
