DatasetName,DatasetSize,NumClusters,NumFeatures,Suite,SweepVal,Mode,SwitchIter,Time,Memory_MB,ARI,DBI,Inertia,CenterDiff
3D_ROAD,434874,5,3,A,0.0,Double,300.0,0.07238936424255371,,0.41418862821387903,10.436976,2.0031392048381395e+19,0.0
3D_ROAD,434874,5,3,A,0.0,AdaptiveHybrid,13.0,0.22404003143310547,15.655463999999998,,0.4143105194452759,2.0031768896234484e+19,915190.395332268
3D_ROAD,434874,5,3,A,0.0,Double,300.0,0.10613608360290527,,0.41418862821387903,10.436976,2.0035933448457957e+19,0.0
3D_ROAD,434874,5,3,A,0.0,AdaptiveHybrid,7.0,0.1390676498413086,15.655463999999998,,0.41418862821387903,2.00330248619227e+19,1122699.1604664698
3D_ROAD,434874,5,3,A,0.0,Double,300.0,0.22569918632507324,,0.4143105194452759,10.436976,2.0031456940422115e+19,0.0
3D_ROAD,434874,5,3,A,0.0,AdaptiveHybrid,14.0,0.22106719017028809,15.655463999999998,,0.41418862821387903,2.003144354779295e+19,777372.0420983853
3D_ROAD,434874,5,3,B,0.1,Double,0.25610780715942383,,1000.0,0.4143105194452759,10.436976,2.0031762349710057e+19,0.0
3D_ROAD,434874,5,3,B,0.1,AdaptiveHybrid,13.0,0.25409984588623047,15.655463999999998,,0.4143105194452759,2.003147417404781e+19,907121.2071867422
3D_ROAD,434874,5,3,B,0.1,Double,0.16575956344604492,,1000.0,0.41418862821387903,10.436976,2.0031392048381395e+19,0.0
3D_ROAD,434874,5,3,B,0.1,AdaptiveHybrid,15.0,0.20446300506591797,15.655463999999998,,0.41418862821387903,2.0031392048381395e+19,1098205.5279486754
3D_ROAD,434874,5,3,B,0.1,Double,0.2548203468322754,,1000.0,0.41418862821387903,10.436976,2.0031916271096447e+19,0.0
3D_ROAD,434874,5,3,B,0.1,AdaptiveHybrid,7.0,0.18304991722106934,15.655463999999998,,0.41418862821387903,2.0042777496281227e+19,760640.3927966782
3D_ROAD,434874,5,3,B,0.001,Double,0.24689936637878418,,1000.0,0.41418862821387903,10.436976,2.0031845650430353e+19,0.0
3D_ROAD,434874,5,3,B,0.001,AdaptiveHybrid,4.0,0.13399362564086914,15.655463999999998,,0.41418862821387903,2.0031392048381395e+19,132786.35645108894
3D_ROAD,434874,5,3,B,0.001,Double,0.706735372543335,,1000.0,0.41418862821387903,10.436976,2.0031428822980534e+19,0.0
3D_ROAD,434874,5,3,B,0.001,AdaptiveHybrid,24.0,0.37952160835266113,15.655463999999998,,0.41418862821387903,2.0031398631450358e+19,261809.71848010004
3D_ROAD,434874,5,3,B,0.001,Double,0.2435307502746582,,1000.0,0.41418862821387903,10.436976,2.0031393847953818e+19,0.0
3D_ROAD,434874,5,3,B,0.001,AdaptiveHybrid,16.0,0.24323344230651855,15.655463999999998,,0.4143105194452759,2.0032158403370607e+19,201190.0965112209
