,DatasetName,DatasetSize,NumClusters,Mode,MB_Iter,MB_Batch,RefineIter,iter_single,iter_double,Suite,Time,Memory_MB,Inertia
41,SYNTH_C_5_F_5_n100k,500000,80,E,100,512,150,1,150,MiniBatch+Full,10.43644428695552,9.539794921875,5888509.7227264745
42,SYNTH_C_5_F_5_n100k,500000,80,E,100,1024,50,0,150,Double,9.763934135437012,20.0,5884088.845945667
43,SYNTH_C_5_F_5_n100k,500000,80,E,100,1024,50,1,50,MiniBatch+Full,3.5742351510562003,9.539794921875,5898667.5221438855
44,SYNTH_C_5_F_5_n100k,500000,80,E,100,1024,100,0,200,Double,13.055145025253296,20.0,5882114.041847749
45,SYNTH_C_5_F_5_n100k,500000,80,E,100,1024,100,1,100,MiniBatch+Full,6.755694569088519,9.539794921875,5891077.484547495
46,SYNTH_C_5_F_5_n100k,500000,80,E,100,1024,150,0,250,Double,17.947460889816284,20.0,5880478.911098698
47,SYNTH_C_5_F_5_n100k,500000,80,E,100,1024,150,1,150,MiniBatch+Full,10.795594078022987,9.539794921875,5886964.663148416
48,SYNTH_C_5_F_5_n100k,500000,80,E,100,2048,50,0,150,Double,9.900540590286255,20.0,5883323.2451970875
49,SYNTH_C_5_F_5_n100k,500000,80,E,100,2048,50,2,50,MiniBatch+Full,4.033043691888452,9.539794921875,5903750.298830226
50,SYNTH_C_5_F_5_n100k,500000,80,E,100,2048,100,0,200,Double,13.440279245376587,20.0,5880429.617585269
51,SYNTH_C_5_F_5_n100k,500000,80,E,100,2048,100,2,100,MiniBatch+Full,7.378647431964055,9.539794921875,5894299.358441067
52,SYNTH_C_5_F_5_n100k,500000,80,E,100,2048,150,0,250,Double,16.844928741455078,20.0,5880186.135886162
53,SYNTH_C_5_F_5_n100k,500000,80,E,100,2048,150,2,150,MiniBatch+Full,10.786080619087443,9.539794921875,5890713.820120199
54,SYNTH_C_5_F_5_n100k,500000,80,E,150,512,50,0,200,Double,13.226361513137817,20.0,5881843.286622582
55,SYNTH_C_5_F_5_n100k,500000,80,E,150,512,50,1,50,MiniBatch+Full,4.049803700996563,9.539794921875,5904515.07605223
56,SYNTH_C_5_F_5_n100k,500000,80,E,150,512,100,0,250,Double,16.795593976974487,20.0,5880627.844349673
57,SYNTH_C_5_F_5_n100k,500000,80,E,150,512,100,1,100,MiniBatch+Full,7.403606706066057,9.539794921875,5894706.271234241
58,SYNTH_C_5_F_5_n100k,500000,80,E,150,512,150,0,300,Double,20.189379453659058,20.0,5879321.439551203
59,SYNTH_C_5_F_5_n100k,500000,80,E,150,512,150,1,150,MiniBatch+Full,10.833560943137854,9.539794921875,5887882.864140964
60,SYNTH_C_5_F_5_n100k,500000,80,E,150,1024,50,0,200,Double,13.276983261108398,20.0,5880121.462214265
61,SYNTH_C_5_F_5_n100k,500000,80,E,150,1024,50,1,50,MiniBatch+Full,3.9687317069619894,9.539794921875,5898642.743751512
62,SYNTH_C_5_F_5_n100k,500000,80,E,150,1024,100,0,250,Double,16.667961359024048,20.0,5879243.83552929
63,SYNTH_C_5_F_5_n100k,500000,80,E,150,1024,100,1,100,MiniBatch+Full,7.526223169872537,9.539794921875,5891972.093438739
64,SYNTH_C_5_F_5_n100k,500000,80,E,150,1024,150,0,300,Double,20.08370804786682,20.0,5878380.7583680125
65,SYNTH_C_5_F_5_n100k,500000,80,E,150,1024,150,1,150,MiniBatch+Full,10.657068826025352,9.539794921875,5886915.543038162
66,SYNTH_C_5_F_5_n100k,500000,80,E,150,2048,50,0,200,Double,13.288182735443115,20.0,5882317.5893091485
67,SYNTH_C_5_F_5_n100k,500000,80,E,150,2048,50,2,50,MiniBatch+Full,4.064264639979228,9.539794921875,5903772.513832954
68,SYNTH_C_5_F_5_n100k,500000,80,E,150,2048,100,0,250,Double,16.782912015914917,20.0,5879871.70533402
69,SYNTH_C_5_F_5_n100k,500000,80,E,150,2048,100,2,100,MiniBatch+Full,7.330163016915321,9.539794921875,5893925.6767928
70,SYNTH_C_5_F_5_n100k,500000,80,E,150,2048,150,0,300,Double,19.862568378448486,20.0,5877619.52366727
71,SYNTH_C_5_F_5_n100k,500000,80,E,150,2048,150,2,150,MiniBatch+Full,10.795667531900108,9.539794921875,5890320.236902034
