DatasetName,DatasetSize,NumClusters,Mode,Cap,tolerance_single,iter_single,iter_double,Suite,Time,Memory_MB,ARI,DBI,Inertia
SYNTH_C_5_F_80_n100k,100000,30,A,0,0,0,300,Double,7.66243314743042,64.0,0.2777597129567326,7.60610582681229,7788040.734590055
SYNTH_C_5_F_80_n100k,100000,30,A,0,0,1,299,AdaptiveHybrid,7.836060523986816,96.0,0.2777636987664587,7.592736962013202,7788333.289562027
SYNTH_C_5_F_80_n100k,100000,30,A,50,0,50,250,AdaptiveHybrid,7.561896085739136,96.0,0.2777815628378928,7.595368096031139,7787979.081239304
SYNTH_C_5_F_80_n100k,100000,30,A,100,0,100,200,AdaptiveHybrid,6.9543211460113525,96.0,0.2777661988793668,7.594822245545022,7787549.61117117
SYNTH_C_5_F_80_n100k,100000,30,A,150,0,150,150,AdaptiveHybrid,6.467259645462036,96.0,0.27775436470854514,7.588600814791412,7787955.7084928285
SYNTH_C_5_F_80_n100k,100000,30,A,200,0,200,100,AdaptiveHybrid,6.145915985107422,96.0,0.27779434950702037,7.594602979687165,7787951.355126693
SYNTH_C_5_F_80_n100k,100000,30,A,250,0,250,50,AdaptiveHybrid,5.503868103027344,96.0,0.27774143635927484,7.587619844555539,7787661.475494007
SYNTH_C_5_F_80_n100k,100000,30,A,300,0,300,1,AdaptiveHybrid,5.29726505279541,96.0,0.2545507700485759,7.422324278718451,26034395.275869064
SYNTH_C_80_F_5_n100k,100000,30,A,0,0,0,127,Double,0.8938624858856201,4.0,0.4186396818493967,1.098514407980175,2774703.9359768825
SYNTH_C_80_F_5_n100k,100000,30,A,0,0,1,55,AdaptiveHybrid,0.5071046352386475,6.0,0.4186233876753579,1.0986245496354239,2774704.6526769977
SYNTH_C_80_F_5_n100k,100000,30,A,50,0,50,68,AdaptiveHybrid,0.9283139705657959,6.0,0.4186348397580585,1.0986271714799705,2774697.4315381926
SYNTH_C_80_F_5_n100k,100000,30,A,100,0,63,69,AdaptiveHybrid,1.0480003356933594,6.0,0.41860776060020005,1.0986322074994253,2774709.8644182314
SYNTH_C_80_F_5_n100k,100000,30,A,150,0,150,138,AdaptiveHybrid,1.908811330795288,6.0,0.4186328023541013,1.0985145147226303,2774695.72988986
SYNTH_C_80_F_5_n100k,100000,30,A,200,0,53,64,AdaptiveHybrid,0.9534378051757812,6.0,0.41863136204275075,1.0986478545078202,2774700.635217594
SYNTH_C_80_F_5_n100k,100000,30,A,250,0,51,155,AdaptiveHybrid,1.4145722389221191,6.0,0.41861098317966905,1.0986360225007092,2774697.7000752576
SYNTH_C_80_F_5_n100k,100000,30,A,300,0,59,46,AdaptiveHybrid,0.9194812774658203,6.0,0.41862751549758465,1.0986056205421768,2774705.5520121614
SYNTH_C_80_30_n100k,100000,30,A,0,0,0,41,Double,0.594029426574707,24.0,0.38886556431492336,1.8300269833096625,48170606.70580964
SYNTH_C_80_30_n100k,100000,30,A,0,0,1,50,AdaptiveHybrid,0.9350066184997559,36.0,0.3888691609357523,1.830928571779551,48170652.4949533
SYNTH_C_80_30_n100k,100000,30,A,50,0,30,30,AdaptiveHybrid,0.9845330715179443,36.0,0.3888695290100918,1.8308866131242654,48170683.11295842
SYNTH_C_80_30_n100k,100000,30,A,100,0,26,41,AdaptiveHybrid,0.9929554462432861,36.0,0.38886451266841954,1.8299551407261232,48170631.879792504
SYNTH_C_80_30_n100k,100000,30,A,150,0,44,32,AdaptiveHybrid,1.1019105911254883,36.0,0.38886319810838943,1.8305166522943541,48170604.785459
SYNTH_C_80_30_n100k,100000,30,A,200,0,45,31,AdaptiveHybrid,1.1373896598815918,36.0,0.38886687887115273,1.8308572042693556,48170625.22107817
SYNTH_C_80_30_n100k,100000,30,A,250,0,40,9,AdaptiveHybrid,0.8165335655212402,36.0,0.38886533295280845,1.8293326879483707,48170826.98926928
SYNTH_C_80_30_n100k,100000,30,A,300,0,58,40,AdaptiveHybrid,1.615830659866333,36.0,0.38886290364665316,1.829457207039349,48170632.84131905
