dataset,repeat,approach,penalty,alpha,lambda,solver,max_iter,max_iter_single,tol,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss,C,error
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,2000.0,0.01,0.04888841800857335,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,2000.0,0.01,0.47533684596419334,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,2000.0,0.01,0.5467959160450846,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,3000.0,0.01,0.04850008001085371,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,3000.0,0.01,0.4729653119575232,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,3000.0,0.01,0.5459373450139537,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,4000.0,0.01,0.04898592701647431,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,4000.0,0.01,0.49452458205632865,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,4000.0,0.01,0.6241014651022851,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,5000.0,0.01,0.08249577297829092,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,5000.0,0.01,0.5868776519782841,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,5000.0,0.01,0.6394121790071949,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,6000.0,0.01,0.07794473099056631,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,6000.0,0.01,0.483909395057708,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,6000.0,0.01,0.5450919839786366,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,7000.0,0.01,0.048489243956282735,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,7000.0,0.01,0.4750901539810002,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,7000.0,0.01,0.5419747870182618,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,8000.0,0.01,0.0781012640800327,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,8000.0,0.01,0.5124134459765628,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,8000.0,0.01,0.5385795489419252,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,9000.0,0.01,0.04907432699110359,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,9000.0,0.01,0.47343804698903114,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,9000.0,0.01,0.5406358640175313,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,0.0,0.0001,0.04826080799102783,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,0.0,0.0001,0.465582556091249,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
