DatasetName,DatasetSize,NumClusters,NumFeatures,Mode,Cap,tolerance,iter_single,iter_double,Suite,Time,Memory_MB,ARI,DBI,Inertia
SYNTH_K5_n100k,100000,5,30,A,0,1e-16,0,300,Double,1.2786035537719727,24.0,0.7190998697661093,2.9706387316028824,17278698.572087795
SYNTH_K5_n100k,100000,5,30,A,1,1e-16,1,117,AdaptiveHybrid,0.7750086784362793,36.0,0.7191032199044572,2.975116545173391,17278710.9226548
SYNTH_K5_n100k,100000,5,30,A,50,1e-16,50,250,AdaptiveHybrid,1.3563599586486816,36.0,0.7191023697332656,2.9751427344423775,17278709.05995929
SYNTH_K5_n100k,100000,5,30,A,100,1e-16,100,200,AdaptiveHybrid,1.5242340564727783,36.0,0.7190972174830129,2.970696940427678,17278667.565011587
SYNTH_K5_n100k,100000,5,30,A,150,1e-16,150,150,AdaptiveHybrid,1.6073076725006104,36.0,0.719093625072211,2.975043014766075,17278705.589105077
SYNTH_K5_n100k,100000,5,30,A,200,1e-16,200,100,AdaptiveHybrid,2.131664514541626,36.0,0.7190963036253816,2.9763862030523045,17278730.90409526
SYNTH_K5_n100k,100000,5,30,A,250,1e-16,250,50,AdaptiveHybrid,2.605905294418335,36.0,0.7191015523865164,2.975151072500002,17278820.620388843
SYNTH_K5_n100k,100000,5,30,A,300,1e-16,300,1,AdaptiveHybrid,2.087010145187378,36.0,0.5420663770074845,1.4687555709974998,36669969.81943683
