dataset,repeat,approach,penalty,alpha,lambda,C,solver,max_iter,tol,error,max_iter_single,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,0.0001,,500.0,0.07461879204493016,16.0,4.0,1.0,1.0,2.035942140681509e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,0.0001,,500.0,0.05613164301030338,,,1.0,1.0,2.0359421689937326e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,0.0001,,500.0,0.07273427897598594,,,1.0,1.0,2.0119483788005348e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,0.0001,,800.0,0.0814788299612701,16.0,4.0,1.0,1.0,2.035942140681509e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,0.0001,,800.0,0.07071708096191287,,,1.0,1.0,2.0359421689937326e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,0.0001,,800.0,0.07160820497665554,,,1.0,1.0,2.0119483788005348e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,0.0001,,1000.0,0.046573769999668,16.0,4.0,1.0,1.0,2.035942140681509e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,0.0001,,1000.0,0.10561203700490296,,,1.0,1.0,2.0359421689937326e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,0.0001,,1000.0,0.14853754395153373,,,1.0,1.0,2.0119483788005348e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,0.0001,,2000.0,0.11041657510213554,16.0,4.0,1.0,1.0,2.035942140681509e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,0.0001,,2000.0,0.12911376694682986,,,1.0,1.0,2.0359421689937326e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,0.0001,,2000.0,0.13302419998217374,,,1.0,1.0,2.0119483788005348e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,0.0001,,3000.0,0.09021368890535086,16.0,4.0,1.0,1.0,2.035942140681509e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,0.0001,,3000.0,0.10747998510487378,,,1.0,1.0,2.0359421689937326e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,0.0001,,3000.0,0.13292005192488432,,,1.0,1.0,2.0119483788005348e-06
gaussian,0,ERROR,l2,0.0,0.01,,lbfgs,3000,1e-06,Option 'optim iteration limit': value out-of-bounds,,,,,,,
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,1e-06,,50.0,0.08280151302460581,16.0,6.0,1.0,1.0,2.0196579644894295e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,1e-06,,50.0,0.1271786839934066,,,1.0,1.0,2.0196579253260756e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,1e-06,,50.0,0.38834665704052895,,,1.0,1.0,2.0187892623450243e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,1e-06,,100.0,0.07723475794773549,16.0,6.0,1.0,1.0,2.0196579644894295e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,1e-06,,100.0,0.14702129596844316,,,1.0,1.0,2.0196579253260756e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,1e-06,,100.0,0.31057154305744916,,,1.0,1.0,2.0187892623450243e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,1e-06,,200.0,0.09396225609816611,16.0,6.0,1.0,1.0,2.0196579644894295e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,1e-06,,200.0,0.10971165192313492,,,1.0,1.0,2.0196579253260756e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,1e-06,,200.0,0.21260307496413589,,,1.0,1.0,2.0187892623450243e-06
