DatasetName,DatasetSize,NumClusters,Mode,tolerance_single,ItersSingle,ItersDouble,Suite,Time,PeakMB,Inertia
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-05,208,0,Single,2.4366098130121827,294.46144,21719604.0
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-05,0,298,Double,6.445017382036895,294.690816,21925436.895461943
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-05,345,50,Hybrid,5.624001979129389,294.559744,21925134.122395776
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-06,155,0,Single,1.86171018704772,294.46144,21719596.0
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-06,0,269,Double,5.8051353469491005,294.690816,21925401.835966263
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-06,217,262,Hybrid,8.334458521101624,294.559744,21925199.004224982
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-06,207,0,Single,2.4371399730443954,294.46144,21719612.0
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-06,0,842,Double,18.43121358100325,294.690816,21924848.493012752
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-06,205,333,Hybrid,9.8662180271931,294.559744,21925200.187667377
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-06,314,0,Single,4.599909333977848,294.46144,21719074.0
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-06,0,237,Double,5.502888415008783,294.690816,21925396.149393577
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-06,251,7,Hybrid,3.189331923145801,294.559744,21925621.645877507
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-07,175,0,Single,2.8678047640714794,294.46144,21719296.0
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-07,0,385,Double,8.693135391920805,294.690816,21925245.962934166
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-07,288,659,Hybrid,17.788337513105944,294.486016,21925038.860722903
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-07,309,0,Single,3.6193058360368013,294.387712,21719874.0
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-07,0,524,Double,11.181891812942922,294.617088,21925281.668163083
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-07,186,367,Hybrid,12.331328449072316,294.559744,21925518.580638405
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-07,122,0,Single,1.9211773541755974,294.46144,21719372.0
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-07,0,590,Double,13.15104948100634,294.690816,21925041.290260226
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-07,122,500,Hybrid,12.778297162149101,294.559744,21925014.613667723
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-08,139,0,Single,1.7068286479916424,294.46144,21719460.0
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-08,0,360,Double,7.923511158209294,294.690816,21925264.4653805
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-08,584,15,Hybrid,7.356029007118195,294.559744,21925170.386376098
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-08,433,0,Single,5.180961386067793,294.46144,21718906.0
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-08,0,532,Double,11.895329009974375,294.694912,21925174.381868497
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-08,243,241,Hybrid,8.285994872217998,294.490112,21925073.032027755
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-08,197,0,Single,2.3732614319305867,294.391808,21719006.0
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-08,0,672,Double,15.775936783058569,294.62528,21924968.308851294
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-08,301,177,Hybrid,7.545712881255895,294.494208,21924991.57075911
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-09,410,0,Single,4.83153645391576,294.395904,21719466.0
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-09,0,273,Double,5.999293820001185,294.62528,21925491.448685244
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-09,298,162,Hybrid,7.1924531299155205,294.494208,21925402.373971056
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-09,346,0,Single,4.125143310986459,294.395904,21720042.0
