approach,penalty,alpha,lambda,solver,max_iter_single,tol,time_sec,iters,roc_auc,pr_auc,logloss,loss_internal
multistage-IR,l2,0.0,0.001,lbfgs,300,1e-06,0.35306131199467927,1,1.0,1.0,2.3178524927296922e-07,0.004102283971142875
adaptive-precision,l2,0.0,0.001,lbfgs,300,1e-06,0.16927810909692198,1,1.0,1.0,2.3452447603435271e-07,0.0041022104497198475
single(f32),l2,0.0,0.01,lbfgs,150,0.0001,0.02158426900859922,12,1.0,1.0,2.2234637415159825e-06,0.030508728697896004
double(f64),l2,0.0,0.01,lbfgs,150,0.0001,0.029412889038212597,17,1.0,1.0,1.540840401587927e-06,0.02993995657063142
hybrid(f32→f64),l2,0.0,0.01,lbfgs,150,0.0001,0.03808601200580597,5,1.0,1.0,1.569269861654361e-06,0.02994004835902006
multistage-IR,l2,0.0,0.01,lbfgs,150,0.0001,0.09419900400098413,0,1.0,1.0,1.569269853203209e-06,0.0299234539270401
adaptive-precision,l2,0.0,0.01,lbfgs,150,0.0001,0.13167327595874667,1,1.0,1.0,1.547860171196868e-06,0.029943240032073895
single(f32),l2,0.0,0.01,lbfgs,300,0.0001,0.03652844007592648,12,1.0,1.0,2.2234637415159825e-06,0.030508728697896004
double(f64),l2,0.0,0.01,lbfgs,300,0.0001,0.05928434000816196,17,1.0,1.0,1.540840401587927e-06,0.02993995657063142
hybrid(f32→f64),l2,0.0,0.01,lbfgs,300,0.0001,0.07158478396013379,5,1.0,1.0,1.569269861654361e-06,0.02994004835902006
multistage-IR,l2,0.0,0.01,lbfgs,300,0.0001,0.05063217808492482,0,1.0,1.0,1.569269853203209e-06,0.0299234539270401
adaptive-precision,l2,0.0,0.01,lbfgs,300,0.0001,0.09562257502693683,1,1.0,1.0,1.547860171196868e-06,0.029943240032073895
single(f32),l2,0.0,0.01,lbfgs,150,1e-06,0.018504315987229347,12,1.0,1.0,2.2234637415159825e-06,0.030508728697896004
double(f64),l2,0.0,0.01,lbfgs,150,1e-06,0.030900922021828592,20,1.0,1.0,1.5635744548379731e-06,0.02993882863889531
hybrid(f32→f64),l2,0.0,0.01,lbfgs,150,1e-06,0.08199450792744756,8,1.0,1.0,1.561993593548436e-06,0.029938821311678958
multistage-IR,l2,0.0,0.01,lbfgs,150,1e-06,0.22761849802918732,0,1.0,1.0,1.5606735428543919e-06,0.02992388978600502
adaptive-precision,l2,0.0,0.01,lbfgs,150,1e-06,0.3529099370352924,1,1.0,1.0,1.5629742425295416e-06,0.029938810470355005
single(f32),l2,0.0,0.01,lbfgs,300,1e-06,0.02429690898861736,12,1.0,1.0,2.2234637415159825e-06,0.030508728697896004
double(f64),l2,0.0,0.01,lbfgs,300,1e-06,0.06650459603406489,20,1.0,1.0,1.5635744548379731e-06,0.02993882863889531
hybrid(f32→f64),l2,0.0,0.01,lbfgs,300,1e-06,0.06872221198864281,8,1.0,1.0,1.561993593548436e-06,0.029938821311678958
multistage-IR,l2,0.0,0.01,lbfgs,300,1e-06,0.15187340800184757,0,1.0,1.0,1.5606735428543919e-06,0.02992388978600502
adaptive-precision,l2,0.0,0.01,lbfgs,300,1e-06,0.23574898100923747,1,1.0,1.0,1.5629742425295416e-06,0.029938810470355005
single(f32),l2,0.0,0.01,lbfgs,150,0.0001,0.017677825991995633,12,1.0,1.0,2.2234637415159825e-06,0.030508728697896004
double(f64),l2,0.0,0.01,lbfgs,150,0.0001,0.028251967974938452,17,1.0,1.0,1.540840401587927e-06,0.02993995657063142
hybrid(f32→f64),l2,0.0,0.01,lbfgs,150,0.0001,0.037021727999672294,5,1.0,1.0,1.569269861654361e-06,0.02994004835902006
multistage-IR,l2,0.0,0.01,lbfgs,150,0.0001,0.08924248302355409,0,1.0,1.0,1.569269853203209e-06,0.0299234539270401
adaptive-precision,l2,0.0,0.01,lbfgs,150,0.0001,0.13188166497275233,1,1.0,1.0,1.547860171196868e-06,0.029943240032073895
single(f32),l2,0.0,0.01,lbfgs,300,0.0001,0.018080238020047545,12,1.0,1.0,2.2234637415159825e-06,0.030508728697896004
double(f64),l2,0.0,0.01,lbfgs,300,0.0001,0.02877394901588559,17,1.0,1.0,1.540840401587927e-06,0.02993995657063142
hybrid(f32→f64),l2,0.0,0.01,lbfgs,300,0.0001,0.037040828028693795,5,1.0,1.0,1.569269861654361e-06,0.02994004835902006
multistage-IR,l2,0.0,0.01,lbfgs,300,0.0001,0.0930891870521009,0,1.0,1.0,1.569269853203209e-06,0.0299234539270401
adaptive-precision,l2,0.0,0.01,lbfgs,300,0.0001,0.11045592196751386,1,1.0,1.0,1.547860171196868e-06,0.029943240032073895
single(f32),l2,0.0,0.01,lbfgs,150,1e-06,0.021149536012671888,12,1.0,1.0,2.2234637415159825e-06,0.030508728697896004
double(f64),l2,0.0,0.01,lbfgs,150,1e-06,0.031567241065204144,20,1.0,1.0,1.5635744548379731e-06,0.02993882863889531
